"county_code","county","office","district","party","candidate","votes","pct"
"01","Aitkin","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","1986","53.43"
"01","Aitkin","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","989","26.61"
"01","Aitkin","Associate Justice - Supreme Court 6","","NP","Craig Foss","742","19.96"
"02","Anoka","U.S. House","5","R","Frank Nelson Drake","865","100.00"
"02","Anoka","U.S. House","5","DFL","Keith Ellison","1879","79.92"
"02","Anoka","U.S. House","5","DFL","Gregg A. Iverson","269","11.44"
"02","Anoka","U.S. House","5","DFL","Lee Bauer","203","8.63"
"02","Anoka","U.S. House","6","R","Tom Emmer","5611","77.55"
"02","Anoka","U.S. House","6","R","Patrick Munro","446","6.16"
"02","Anoka","U.S. House","6","R","A. J. Kern","1178","16.28"
"02","Anoka","U.S. House","6","DFL","David Snyder","1474","42.87"
"02","Anoka","U.S. House","6","DFL","Bob Helland","573","16.67"
"02","Anoka","U.S. House","6","DFL","Judy Evelyn Adams","1391","40.46"
"02","Anoka","State House","31A","R","Alan Duff","342","30.98"
"02","Anoka","State House","31A","R","Kurt Daudt","762","69.02"
"02","Anoka","State House","31A","DFL","Sarah Udvig","250","100.00"
"02","Anoka","State House","31B","R","Tom Hackbarth","952","43.04"
"02","Anoka","State House","31B","R","Cal (Calvin) K. Bahr","1260","56.96"
"02","Anoka","State House","31B","DFL","Susan Larson","487","100.00"
"02","Anoka","County Commissioner District 3","03","NP","Robyn West","1557","58.56"
"02","Anoka","County Commissioner District 3","03","NP","Nyle Zikmund","901","33.88"
"02","Anoka","County Commissioner District 3","03","NP","Michael Harasyn","201","7.56"
"02","Anoka","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","7827","52.95"
"02","Anoka","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","4023","27.21"
"02","Anoka","Associate Justice - Supreme Court 6","","NP","Craig Foss","2933","19.84"
"03","Becker","U.S. House","7","R","Dave Hughes","306","56.88"
"03","Becker","U.S. House","7","R","Amanda Lynn Hinson","232","43.12"
"03","Becker","U.S. House","7","DFL","Collin Peterson","531","100.00"
"03","Becker","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","533","52.56"
"03","Becker","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","250","24.65"
"03","Becker","Associate Justice - Supreme Court 6","","NP","Craig Foss","231","22.78"
"04","Beltrami","U.S. House","7","R","Dave Hughes","174","55.77"
"04","Beltrami","U.S. House","7","R","Amanda Lynn Hinson","138","44.23"
"04","Beltrami","U.S. House","7","DFL","Collin Peterson","667","100.00"
"04","Beltrami","State Senate","5","R","Pedie Pederson","56","23.14"
"04","Beltrami","State Senate","5","R","Justin Eichorn","186","76.86"
"04","Beltrami","State Senate","5","DFL","Tom Saxhaug","311","100.00"
"04","Beltrami","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","836","57.58"
"04","Beltrami","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","365","25.14"
"04","Beltrami","Associate Justice - Supreme Court 6","","NP","Craig Foss","251","17.29"
"05","Benton","U.S. House","6","R","Tom Emmer","868","54.01"
"05","Benton","U.S. House","6","R","Patrick Munro","67","4.17"
"05","Benton","U.S. House","6","R","A. J. Kern","672","41.82"
"05","Benton","U.S. House","6","DFL","David Snyder","261","37.61"
"05","Benton","U.S. House","6","DFL","Bob Helland","164","23.63"
"05","Benton","U.S. House","6","DFL","Judy Evelyn Adams","269","38.76"
"05","Benton","State Senate","15","R","Andrew Mathews","331","57.87"
"05","Benton","State Senate","15","R","Dan Whitcomb","241","42.13"
"05","Benton","State Senate","15","DFL","Chilah Brown","138","55.42"
"05","Benton","State Senate","15","DFL","Rob Passons","111","44.58"
"05","Benton","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","1036","49.90"
"05","Benton","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","604","29.09"
"05","Benton","Associate Justice - Supreme Court 6","","NP","Craig Foss","436","21.00"
"06","Big Stone","U.S. House","7","R","Dave Hughes","100","60.61"
"06","Big Stone","U.S. House","7","R","Amanda Lynn Hinson","65","39.39"
"06","Big Stone","U.S. House","7","DFL","Collin Peterson","259","100.00"
"06","Big Stone","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","227","58.96"
"06","Big Stone","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","72","18.70"
"06","Big Stone","Associate Justice - Supreme Court 6","","NP","Craig Foss","86","22.34"
"07","Blue Earth","U.S. House","1","R","Jim Hagedorn","866","82.24"
"07","Blue Earth","U.S. House","1","R","Steve Williams","187","17.76"
"07","Blue Earth","U.S. House","1","DFL","Tim Walz","1011","100.00"
"07","Blue Earth","State Senate","23","R","Julie Rosen","592","100.00"
"07","Blue Earth","State Senate","23","DFL","John M. Lillis","148","32.46"
"07","Blue Earth","State Senate","23","DFL","Barbara Ann Lake","308","67.54"
"07","Blue Earth","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","1286","63.32"
"07","Blue Earth","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","416","20.48"
"07","Blue Earth","Associate Justice - Supreme Court 6","","NP","Craig Foss","329","16.20"
"08","Brown","U.S. House","1","R","Jim Hagedorn","797","83.98"
"08","Brown","U.S. House","1","R","Steve Williams","152","16.02"
"08","Brown","U.S. House","1","DFL","Tim Walz","679","100.00"
"08","Brown","County Commissioner District 2","02","NP","Amy Bloedel","116","15.57"
"08","Brown","County Commissioner District 2","02","NP","Anton (Tony) Berg","418","56.11"
"08","Brown","County Commissioner District 2","02","NP","Roger C. Klockziem","211","28.32"
"08","Brown","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","907","59.83"
"08","Brown","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","321","21.17"
"08","Brown","Associate Justice - Supreme Court 6","","NP","Craig Foss","288","19.00"
"09","Carlton","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","796","57.85"
"09","Carlton","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","338","24.56"
"09","Carlton","Associate Justice - Supreme Court 6","","NP","Craig Foss","242","17.59"
"10","Carver","U.S. House","6","R","Tom Emmer","590","77.73"
"10","Carver","U.S. House","6","R","Patrick Munro","33","4.35"
"10","Carver","U.S. House","6","R","A. J. Kern","136","17.92"
"10","Carver","U.S. House","6","DFL","David Snyder","168","46.28"
"10","Carver","U.S. House","6","DFL","Bob Helland","68","18.73"
"10","Carver","U.S. House","6","DFL","Judy Evelyn Adams","127","34.99"
"10","Carver","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","1321","58.58"
"10","Carver","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","581","25.76"
"10","Carver","Associate Justice - Supreme Court 6","","NP","Craig Foss","353","15.65"
"11","Cass","State Senate","5","R","Pedie Pederson","165","23.91"
"11","Cass","State Senate","5","R","Justin Eichorn","525","76.09"
"11","Cass","State Senate","5","DFL","Tom Saxhaug","575","100.00"
"11","Cass","County Commissioner District 2","02","NP","Edward (Ed) Nelson","84","18.30"
"11","Cass","County Commissioner District 2","02","NP","John W. Warren","96","20.92"
"11","Cass","County Commissioner District 2","02","NP","Robert Kangas","279","60.78"
"11","Cass","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","882","48.89"
"11","Cass","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","511","28.33"
"11","Cass","Associate Justice - Supreme Court 6","","NP","Craig Foss","411","22.78"
"12","Chippewa","U.S. House","7","R","Dave Hughes","92","47.92"
"12","Chippewa","U.S. House","7","R","Amanda Lynn Hinson","100","52.08"
"12","Chippewa","U.S. House","7","DFL","Collin Peterson","216","100.00"
"12","Chippewa","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","233","58.84"
"12","Chippewa","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","92","23.23"
"12","Chippewa","Associate Justice - Supreme Court 6","","NP","Craig Foss","71","17.93"
"13","Chisago","State Senate","32","R","Mark Koran","1254","71.53"
"13","Chisago","State Senate","32","R","Sean Nienow","499","28.47"
"13","Chisago","State Senate","32","DFL","Tim Nelson","627","100.00"
"13","Chisago","County Commissioner District 2","02","NP","Mark Osland","268","40.73"
"13","Chisago","County Commissioner District 2","02","NP","Rick Greene","325","49.39"
"13","Chisago","County Commissioner District 2","02","NP","Jessica Istvanovich","49","7.45"
"13","Chisago","County Commissioner District 2","02","NP","Jeffrey Alan August Sr","16","2.43"
"13","Chisago","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","1120","48.46"
"13","Chisago","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","588","25.44"
"13","Chisago","Associate Justice - Supreme Court 6","","NP","Craig Foss","603","26.09"
"14","Clay","U.S. House","7","R","Dave Hughes","509","61.40"
"14","Clay","U.S. House","7","R","Amanda Lynn Hinson","320","38.60"
"14","Clay","U.S. House","7","DFL","Collin Peterson","1742","100.00"
"14","Clay","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","1377","60.21"
"14","Clay","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","502","21.95"
"14","Clay","Associate Justice - Supreme Court 6","","NP","Craig Foss","408","17.84"
"15","Clearwater","U.S. House","7","R","Dave Hughes","155","65.40"
"15","Clearwater","U.S. House","7","R","Amanda Lynn Hinson","82","34.60"
"15","Clearwater","U.S. House","7","DFL","Collin Peterson","162","100.00"
"15","Clearwater","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","164","42.27"
"15","Clearwater","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","121","31.19"
"15","Clearwater","Associate Justice - Supreme Court 6","","NP","Craig Foss","103","26.55"
"16","Cook","Associate Justice - Supreme Court 6","","NP","Natalie Hudson","659","78.36"
"16","Cook","Associate Justice - Supreme Court 6","","NP","Michelle L. MacDonald","133","15.81"
"16","Cook","Associate Justice - Supreme Court 6","","NP","Craig Foss","49","5.83"
"17","Cottonwood","U.S. House","1","R","Jim Hagedorn","70","84.34"
"17","Cottonwood","U.S. House","1","R","Steve Williams","13","15.66"
"17","Cottonwood","U.S. House","1","DFL","Tim Walz","32","100.00"
"17","Cottonwood","U.S. House","7","R","Dave Hughes","53","56.38"
